170,105,le hoang trung,0384057111,hoangtrung@gmail.com,400.0,VIP,1,Common,2
156,120,dinh hoang huy,0907127727,hoanghuy91@gmail,180.0,Common,2
127,110,tran trong hieu,0911112231,tronghieukiller@gmail.com,400.0,VIP,2
196,105,nguyen minh tan,0939399339,tanminh1991@gmail.com,400.0,Common,4
115,150,ha huy tap,0971234550,taphuy@gmail.com,370.0,VIP,1,Common,2
171,140,le trung hieu,0384057152,hieutrung101191@gmail.com,660.0,VIP,3
141,135,bui van nghia,0909090909,nghiavan@gmail.com,220.0,VIP,1
149,105,le trung nam,0987654321,asdfgh@gmail.com,400.0,VIP,2
107,100,0,3142535,ewqr@gmail.com,400.0,VIP,2
197,155,ha huy hoang,0971234560,hoanghuy@gmail.com,90.0,Common,1
136,155,ha huy hoang,0971234560,hoanghuy@gmail.com,380.0,VIP,2
129,150,tran cong minh,0981597531,minhcong@gmail.com,1330.0,VIP,7
116,130,tran cong canh,0912387645,canhcong@gmail.com,2200.0,VIP,10
